id,country,poor
6211,C,0.6333414
77549,C,0.25594705
34834,C,0.5774885
74650,C,0.4999442
65375,C,0.35610393
68425,C,0.68971574
6142,C,0.3181952
95572,C,0.4261295
73658,C,0.28385136
31069,C,0.86144364
9024,C,0.43572488
27893,C,0.5994843
74166,C,0.5831993
47343,C,0.5879484
21254,C,0.63700145
64173,C,0.6381616
76702,C,0.66827345
70905,C,0.8802315
59402,C,0.62861115
3184,C,0.23377492
60940,C,0.7809731
5321,C,0.19247338
53921,C,0.40576756
22329,C,0.6039657
64979,C,0.3498667
62337,C,0.61427426
28357,C,0.55572176
94493,C,0.7404883
67078,C,0.3751577
15625,C,0.7158024
92784,C,0.43755597
89328,C,0.62952614
40556,C,0.49296987
43770,C,0.09996157
71745,C,0.20642832
90045,C,0.56959724
79335,C,0.26314548
17909,C,0.78278244
36803,C,0.6946844
72962,C,0.7483863
46015,C,0.21374683
3995,C,0.92909724
85194,C,0.853764
41992,C,0.9611397
602,C,0.64274365
13092,C,0.23929173
89172,C,0.7095553
78886,C,0.4137329
17546,C,0.52325505
25937,C,0.48133808
92159,C,0.47600454
84509,C,0.51593494
15136,C,0.8004275
14157,C,0.60128796
49185,C,0.39567
45307,C,0.9550434
42239,C,0.4994009
76311,C,0.4940056
9311,C,0.81598437
27146,C,0.7240941
52338,C,0.1944153
70341,C,0.4288299
65457,C,0.4749662
54121,C,0.52263325
35786,C,0.59100413
87786,C,0.39671427
88819,C,0.46353695
6143,C,0.3817885
90762,C,0.64895535
61057,C,0.82924384
11848,C,0.32808104
9083,C,0.22740899
55716,C,0.73206127
54366,C,0.3383888
1120,C,0.6091964
97659,C,0.74911505
90036,C,0.35705444
66777,C,0.14842603
55925,C,0.6674465
25890,C,0.5834238
35122,C,0.80370605
75936,C,0.60850465
56267,C,0.8336108
19797,C,0.43052787
47430,C,0.6237082
3881,C,0.53913766
70509,C,0.45280337
94943,C,0.6043203
12598,C,0.3025141
1453,C,0.8255706
56238,C,0.6225424
3982,C,0.3050532
33829,C,0.3849071
89082,C,0.27534395
19233,C,0.57772493
24425,C,0.5063417
29839,C,0.31782657
27882,C,0.5179071
30268,C,0.6860582
5884,C,0.5123096
56862,C,0.5915058
45255,C,0.7427549
25616,C,0.7017421
4110,C,0.8598522
76875,C,0.5763826
85032,C,0.773392
3001,C,0.6661538
39933,C,0.30905265
90245,C,0.15394312
34358,C,0.60743034
94041,C,0.42793
24548,C,0.27788085
37852,C,0.49524906
54094,C,0.5783941
85968,C,0.4686869
63083,C,0.5814905
9513,C,0.66363126
78457,C,0.65968114
63337,C,0.26850456
62703,C,0.7248372
42488,C,0.6818239
5186,C,0.6045701
15091,C,0.19744654
7661,C,0.6517151
47899,C,0.55912364
78995,C,0.6808873
76672,C,0.30811235
25428,C,0.41389626
19844,C,0.19983828
91719,C,0.5808344
44442,C,0.53137213
88876,C,0.5116033
14416,C,0.7734612
79708,C,0.37317485
71281,C,0.13421713
65448,C,0.6083319
90672,C,0.40098378
95949,C,0.42936438
90886,C,0.58529323
85676,C,0.7388572
33273,C,0.3998885
70697,C,0.39885354
29101,C,0.7596772
62431,C,0.49524504
52242,C,0.47225666
45093,C,0.2835876
35018,C,0.29079998
30792,C,0.45483923
39546,C,0.09594133
21870,C,0.47588465
32975,C,0.6371202
92018,C,0.51782304
80666,C,0.2977974
25843,C,0.4509309
99486,C,0.87239826
41512,C,0.53133947
24253,C,0.7342581
46358,C,0.2442484
52505,C,0.5459914
79901,C,0.75617474
22446,C,0.60120434
57997,C,0.28891948
26433,C,0.49111214
97560,C,0.52023196
52035,C,0.6336042
85389,C,0.42691928
60733,C,0.48479378
16015,C,0.35285577
37058,C,0.49032664
44143,C,0.71181834
8607,C,0.27476442
88527,C,0.2819377
70824,C,0.7307551
99845,C,0.47770882
45600,C,0.6617802
64487,C,0.84692377
60529,C,0.24345692
84101,C,0.62482446
36188,C,0.7085558
98371,C,0.5751881
10766,C,0.21055123
46597,C,0.37644878
62417,C,0.3432674
68907,C,0.5379995
49641,C,0.67673886
99350,C,0.18457372
14154,C,0.2719975
34520,C,0.5849341
40238,C,0.591534
35105,C,0.40837806
31113,C,0.4048455
76542,C,0.523639
41483,C,0.7420799
66005,C,0.7389029
12783,C,0.41014713
58448,C,0.7883298
63398,C,0.52319103
97435,C,0.26402363
36978,C,0.52497226
58931,C,0.5913078
76597,C,0.47362086
41131,C,0.42294815
